Id,Prediction
1,0
2,0
3,1
4,1
5,1
6,1
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,0
43,0
44,0
45,0
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,1
77,1
78,0
79,1
80,0
81,1
82,0
83,1
84,0
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,1
100,1
101,1
102,1
103,0
104,0
105,1
106,1
107,0
108,1
109,0
110,0
111,1
112,1
113,1
114,0
115,1
116,0
117,1
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,1
126,1
127,0
128,0
129,0
130,0
131,1
132,0
133,1
134,1
135,1
136,0
137,1
138,0
139,1
140,0
141,1
142,1
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,1
155,0
156,0
157,1
158,1
159,0
160,1
161,0
162,1
163,1
164,0
165,0
166,1
167,1
168,1
169,1
170,1
171,1
172,0
173,0
174,0
175,1
176,1
177,0
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,0
186,1
187,1
188,0
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,0
197,1
198,0
199,0
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,1
213,0
214,0
215,1
216,1
217,0
218,1
219,0
220,1
221,1
222,1
223,1
224,0
225,1
226,0
227,1
228,0
229,0
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,1
239,1
240,1
241,1
242,0
243,1
244,0
245,0
246,0
247,1
248,1
249,0
250,0
251,1
252,1
253,1
254,1
255,0
256,0
257,0
258,0
259,1
260,0
261,1
262,1
263,1
264,1
265,0
266,1
267,1
268,0
269,1
270,0
271,0
272,1
273,0
274,0
275,0
276,1
277,0
278,1
279,0
